data_pobrania,tytul,cena,link,aneks,czynsz,pietro,pokoje,lokalizacja,rok_budowy,ogrzewanie,kaucja,stan,powierzchnia,data_aktualizacji
2026-02-07 22:50,Eleganckie 3 pokojowe mieszkanie z ogrodem Rodzinn,3700,https://www.otodom.pl/pl/oferta/eleganckie-3-pokojowe-mieszkanie-z-ogrodem-rodzinn-ID4zS8R,NIE,950,brak,3,"ul. Rodzinna, Wrocław",brak,brak,5000,brak,58.15,2026-02-10
2026-02-07 22:50,2 pok. | os. kuchnia | balkon | centrum - ul. Reja,2700,https://www.otodom.pl/pl/oferta/2-pok-os-kuchnia-balkon-centrum-ul-reja-ID4zVLV,NIE,0,2,2,"ul. Mikołaja Reja, Wrocław",brak,miejskie,brak,do zamieszkania,50,2026-02-10
2026-02-07 22:50,Atrakcyjne mieszkanie 60 m² w spokojnej i zielonej dzielnicy Wrocławia,3300,https://www.otodom.pl/pl/oferta/atrakcyjne-mieszkanie-60-m-w-spokojnej-i-zielonej-dzielnicy-wroclawia-ID4zVOx,NIE,1200,3,3,"ul. Wojrowicka, Wrocław",brak,miejskie,4500,do zamieszkania,60,2026-02-10
2026-02-07 22:50,"Nowoczesne studio, prestiżowe z balkonem w OVO",2800,https://www.otodom.pl/pl/oferta/nowoczesne-studio-prestizowe-z-balkonem-w-ovo-ID4zd8L,NIE,750,4,1,"ul. Podwale, Wrocław",2016,brak,brak,do zamieszkania,32.49,2026-02-10
2026-02-07 22:50,"przestronne mieszkanie 42 m2 , ul. Wałbrzyska 13a,",2450,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-42-m2-ul-walbrzyska-13a-ID42OpE,NIE,677,3,1,Wrocław,2001,miejskie,3000,do zamieszkania,42,2026-02-10
2026-02-07 22:51,Nowoczesne 3 pok. Mieszkanie Kępa Mieszczańska,6500,https://www.otodom.pl/hpr/pl/oferta/nowoczesne-3-pok-mieszkanie-kepa-mieszczanska-ID4zQia,NIE,640,brak,3,"wyspa Kępa Mieszczańska, Wrocław",brak,miejskie,brak,do zamieszkania,66,2026-02-10
2026-02-07 22:52,Pakosławska|2pok|Rozkład|Garaż|Taras,2800,https://www.otodom.pl/pl/oferta/pakoslawska-2pok-rozklad-garaz-taras-ID4zN0P,NIE,650,0,2,"ul. Pakosławska, Wrocław",2020,miejskie,3000,do zamieszkania,49,2026-02-10
2026-02-07 22:52,Wrocław Fabryczna - Apartament z tarasem.,2750,https://www.otodom.pl/pl/oferta/wroclaw-fabryczna-apartament-z-tarasem-ID4zVJA,NIE,766,0,2,"ul. Nowodworska, Wrocław",2020,miejskie,3000,do zamieszkania,48,2026-02-10
2026-02-07 22:52,Wynajem mieszkanie ul. Oboźna 2 pokoje wyremontowane 50 m,2500,https://www.otodom.pl/pl/oferta/wynajem-mieszkanie-ul-obozna-2-pokoje-wyremontowane-50-m-ID4zVJ3,NIE,525,2,2,"ul. Oboźna, Wrocław",1995,miejskie,3000,do zamieszkania,50,2026-02-10
2026-02-07 22:52,"okazja, Krzyki, Huby",2250,https://www.otodom.pl/pl/oferta/okazja-krzyki-huby-ID4zVJh,NIE,1443,2,2,"ul. Nyska, Wrocław",1960,miejskie,2700,do zamieszkania,50,2026-02-10
2026-02-07 22:52,"Prusa, rozkładowe, umeblowane, wyposażone",2900,https://www.otodom.pl/pl/oferta/prusa-rozkladowe-umeblowane-wyposazone-ID4zVIY,NIE,0,0,2,"ul. Bolesława Prusa, Wrocław",1990,miejskie,brak,do zamieszkania,46,2026-02-10
2026-02-07 22:53,Okolice ul. Kruszwickiej,3000,https://www.otodom.pl/pl/oferta/okolice-ul-kruszwickiej-ID4zVHv,NIE,0,3,3,Wrocław,1970,miejskie,3000,do zamieszkania,51.95,2026-02-10
2026-02-07 22:53,Mieszkanie 2 pokojowe do wynajęcia + miejsce w garażu podziemnym,2800,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-do-wynajecia-miejsce-w-garazu-podziemnym-ID4zVBh,NIE,800,5,2,"ul. Jesionowa, Wrocław",2016,miejskie,3500,do zamieszkania,39.3,2026-02-10
2026-02-07 22:53,Na wynajem | 2 pokoje | Nowe budownictwo | Centrum,3300,https://www.otodom.pl/pl/oferta/na-wynajem-2-pokoje-nowe-budownictwo-centrum-ID4zVIX,NIE,700,3,2,"ul. Ludwika Rydygiera, Wrocław",2012,kotłownia,3300,do zamieszkania,52.09,2026-02-10
